物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
パークアクシス蔵前,東京都台東区蔵前４,"築11年
14階建","築11年
14階建",11,9.5,ワンルーム,25.12,0.3781847133757962,都営大江戸線/蔵前駅 歩5分,5.0,つくばエクスプレス/新御徒町駅 歩7分,7.0,東京メトロ銀座線/田原町駅 歩8分,8.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,蔵前,0,https://suumo.jp/chintai/jnc_000051493799/?bc=100341218059,(株)アクセス上野店
Nasic新小岩,東京都葛飾区新小岩２,"築16年
5階建","築16年
5階建",16,5.7,ワンルーム,20.52,0.2777777777777778,ＪＲ総武線/新小岩駅 歩4分,4.0,,0.0,,0.0,,0,,0,,0,,0,,0,4.0,0,1,0,0,新小岩,0,https://suumo.jp/chintai/jnc_000085341867/?bc=100349848246,リブマックス六本木店(株)リブ・マックス
ＡＬＴＥＲＮＡ門前仲町,東京都江東区深川１,"築3年
12階建","築3年
12階建",3,11.2,2K,26.35,0.4250474383301707,都営大江戸線/門前仲町駅 歩9分,9.0,ＪＲ京葉線/越中島駅 歩15分,15.0,東京メトロ半蔵門線/水天宮前駅 歩23分,23.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,門前仲町,0,https://suumo.jp/chintai/jnc_000085675620/?bc=100324441688,(株)クリエイト錦糸町本店
コンフォール瑞江V,東京都江戸川区南篠崎町４,"築15年
3階建","築15年
3階建",15,10.8,1LDK,50.37,0.2144133412745682,都営新宿線/瑞江駅 歩11分,11.0,都営新宿線/篠崎駅 歩15分,15.0,ＪＲ総武線/小岩駅 バス23分 (バス停)共育プラザ南篠崎 歩4分,23.0,,0,,0,,0,,0,,0,11.0,0,1,1,0,瑞江,1,https://suumo.jp/chintai/jnc_000085902825/?bc=100349812580,アパマンショップ門前仲町駅前店(株)アップル東京
エスポワール,東京都江戸川区中葛西７,"新築
3階建",築１年,1,10.5,1LDK,38.09,0.2756629036492517,東京メトロ東西線/葛西駅 歩11分,11.0,東京メトロ東西線/西葛西駅 歩19分,19.0,ＪＲ京葉線/葛西臨海公園駅 歩31分,31.0,,0,,0,,0,,0,,0,11.0,0,1,1,0,葛西,1,https://suumo.jp/chintai/jnc_000083620573/?bc=100333749308,(株)ハウスパートナー葛西店
都営大江戸線 新御徒町駅 11階建 築32年,東京都台東区小島１,"築32年
11階建","築32年
11階建",32,8.0,2K,22.29,0.3589053387169134,都営大江戸線/新御徒町駅 歩3分,3.0,東京メトロ日比谷線/仲御徒町駅 歩10分,10.0,ＪＲ総武線/浅草橋駅 歩13分,13.0,,0,,0,,0,,0,,0,3.0,1,0,0,0,新御徒町,0,https://suumo.jp/chintai/jnc_000085911263/?bc=100349809518,(株)タウンハウジング東京 西葛西店
東京メトロ日比谷線 入谷駅 14階建 築19年,東京都台東区北上野１,"築19年
14階建","築19年
14階建",19,12.8,ワンルーム,35.89,0.3566453050989133,東京メトロ日比谷線/入谷駅 歩4分,4.0,ＪＲ山手線/鶯谷駅 歩10分,10.0,東京メトロ銀座線/稲荷町駅 歩11分,11.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,入谷,0,,ホームメイトFC小岩駅北口店(株)コーユー
カスタリア北上野,東京都台東区北上野１,"築19年
14階建","築19年
14階建",19,13.0,ワンルーム,35.89,0.3622178879910838,ＪＲ山手線/鶯谷駅 歩8分,8.0,東京メトロ日比谷線/入谷駅 歩2分,2.0,ＪＲ山手線/上野駅 歩10分,10.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,鶯谷,0,https://suumo.jp/chintai/jnc_000085664131/?bc=100348004210,NITOH(株)NITOH賃貸神田店
京成本線 京成小岩駅 3階建 築35年,東京都江戸川区北小岩６,"築35年
3階建","築35年
3階建",35,7.0,2K,37.19,0.1882226404947566,京成本線/京成小岩駅 歩5分,5.0,北総線/新柴又駅 歩13分,13.0,ＪＲ総武線/小岩駅 歩23分,23.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,京成小岩,1,https://suumo.jp/chintai/jnc_000085848561/?bc=100349787520,グランデ上野店 (株)グランデ
CASSIA上野入谷,東京都台東区竜泉１,"築3年
12階建","築3年
12階建",3,9.1,1K,25.0,0.364,東京メトロ日比谷線/入谷駅 歩6分,6.0,東京メトロ日比谷線/三ノ輪駅 歩8分,8.0,都電荒川線/三ノ輪橋駅 歩14分,14.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,入谷,0,https://suumo.jp/chintai/jnc_000064475549/?bc=100349306515,ホームメイトFC小岩駅北口店(株)コーユー
東京メトロ東西線 葛西駅 13階建 築27年,東京都江戸川区東葛西６,"築27年
13階建","築27年
13階建",27,9.6,2DK,43.57,0.2203350929538673,東京メトロ東西線/葛西駅 歩1分,1.0,東京メトロ東西線/西葛西駅 歩23分,23.0,東京メトロ東西線/浦安駅 歩25分,25.0,,0,,0,,0,,0,,0,1.0,1,1,0,0,葛西,1,https://suumo.jp/chintai/jnc_000019691182/?bc=100349652389,(株)モノリス御徒町支店
レジディア浅草橋,東京都台東区蔵前１,"築19年
12階建","築19年
12階建",19,13.0,1DK,30.65,0.4241435562805873,都営浅草線/蔵前駅 歩3分,3.0,ＪＲ総武線/浅草橋駅 歩5分,5.0,都営大江戸線/新御徒町駅 歩16分,16.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,蔵前,0,https://suumo.jp/chintai/jnc_000085743190/?bc=100348486167,(株)シエルライン
東京メトロ東西線 西葛西駅 3階建 築37年,東京都江戸川区西葛西７,"築37年
3階建","築37年
3階建",37,7.6,2K,32.4,0.2345679012345679,東京メトロ東西線/西葛西駅 歩10分,10.0,東京メトロ東西線/葛西駅 歩20分,20.0,ＪＲ京葉線/葛西臨海公園駅 歩29分,29.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,西葛西,0,https://suumo.jp/chintai/jnc_000078393217/?bc=100299490898,(株)エイブル浅草橋店
リヴェール　SRK,東京都台東区日本堤１,"築8年
3階建","築8年
3階建",8,7.8,ワンルーム,27.8,0.2805755395683453,東京メトロ日比谷線/南千住駅 歩11分,11.0,東京メトロ日比谷線/三ノ輪駅 歩13分,13.0,東武伊勢崎線/浅草駅 歩23分,23.0,,0,,0,,0,,0,,0,11.0,0,1,1,0,南千住,1,https://suumo.jp/chintai/jnc_000085494025/?bc=100268399621,賃貸スマイル(株)西葛西店
サンハイツ生方(うぶかた),東京都江戸川区平井６,"築47年
3階建","築47年
3階建",47,8.5,2K,35.0,0.2428571428571428,ＪＲ総武線/平井駅 歩6分,6.0,東武亀戸線/東あずま駅 歩14分,14.0,ＪＲ総武線/亀戸駅 歩28分,28.0,,0,,0,,0,,0,,0,6.0,1,1,0,0,平井,1,,ホームメイトFC小岩駅北口店(株)コーユー
ヴィラ・マーレ,東京都葛飾区東堀切２,"築38年
3階建","築38年
3階建",38,6.3,2K,32.23,0.1954700589512876,京成本線/堀切菖蒲園駅 歩13分,13.0,京成本線/お花茶屋駅 歩13分,13.0,東京メトロ千代田線/綾瀬駅 歩23分,23.0,,0,,0,,0,,0,,0,13.0,1,1,1,1,堀切菖蒲園,0,https://suumo.jp/chintai/jnc_000053256528/?bc=100349856494,(株)エールーム新橋店
京成本線 堀切菖蒲園駅 3階建 築38年,東京都葛飾区東堀切２,"築38年
3階建","築38年
3階建",38,6.3,2K,32.23,0.1954700589512876,京成本線/堀切菖蒲園駅 歩13分,13.0,京成本線/お花茶屋駅 歩13分,13.0,東京メトロ千代田線/綾瀬駅 歩20分,20.0,,0,,0,,0,,0,,0,13.0,1,1,1,1,堀切菖蒲園,0,,ホームメイトFC小岩駅北口店(株)コーユー
モアナコート北綾瀬,東京都足立区東和５,"築7年
4階建","築7年
4階建",7,6.3,ワンルーム,17.84,0.3531390134529148,東京メトロ千代田線/北綾瀬駅 歩8分,8.0,ＪＲ常磐線/亀有駅 歩22分,22.0,つくばエクスプレス/青井駅 歩26分,26.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,北綾瀬,0,,ホームメイトFC小岩駅北口店(株)コーユー
東京メトロ千代田線 北綾瀬駅 4階建 築7年,東京都足立区東和５,"築7年
4階建","築7年
4階建",7,6.3,ワンルーム,17.84,0.3531390134529148,東京メトロ千代田線/北綾瀬駅 歩8分,8.0,,0.0,,0.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,北綾瀬,0,https://suumo.jp/chintai/jnc_000084465688/?bc=100340896808,(株)アップスタイル上野駅前店
ベリスタ新御徒町,東京都台東区小島１,"築15年
14階建","築15年
14階建",15,16.0,1LDK,42.93,0.3726997437689262,都営大江戸線/新御徒町駅 歩5分,5.0,都営浅草線/蔵前駅 歩8分,8.0,ＪＲ総武線/浅草橋駅 歩10分,10.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,新御徒町,0,,ホームメイトFC小岩駅北口店(株)コーユー
都営大江戸線 新御徒町駅 14階建 築15年,東京都台東区小島１,"築15年
14階建","築15年
14階建",15,16.0,1LDK,42.93,0.3726997437689262,都営大江戸線/新御徒町駅 歩5分,5.0,都営浅草線/蔵前駅 歩8分,8.0,東京メトロ日比谷線/仲御徒町駅 歩11分,11.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,新御徒町,0,https://suumo.jp/chintai/jnc_000085191652/?bc=100345515019,リブマックス新橋駅前店(株)リブマックスリーシング
東京メトロ半蔵門線 水天宮前駅 地下1地上8階建 築15年,東京都江東区佐賀２,"築15年
地下1地上8階建","築15年
地下1地上8階建",15,10.9,1K,32.02,0.3404122423485321,東京メトロ半蔵門線/水天宮前駅 歩8分,8.0,都営大江戸線/清澄白河駅 歩10分,10.0,東京メトロ東西線/門前仲町駅 歩13分,13.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,水天宮前,0,https://suumo.jp/chintai/jnc_000085070214/?bc=100344393011,(株)リライフ浅草橋店
レアライズ秋葉原,東京都台東区台東２,"築8年
10階建","築8年
10階建",8,9.0,1K,25.16,0.3577106518282988,ＪＲ山手線/秋葉原駅 歩10分,10.0,東京メトロ日比谷線/仲御徒町駅 歩8分,8.0,東京メトロ銀座線/末広町駅 歩9分,9.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,秋葉原,0,https://suumo.jp/chintai/jnc_000071304229/?bc=100345163934,アパマンショップ亀戸店(株)アップル東京
ＪＲ総武線 浅草橋駅 12階建 築19年,東京都台東区蔵前１,"築19年
12階建","築19年
12階建",19,13.0,1LDK,30.65,0.4241435562805873,ＪＲ総武線/浅草橋駅 歩6分,6.0,都営大江戸線/蔵前駅 歩10分,10.0,ＪＲ総武線快速/馬喰町駅 歩12分,12.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,浅草橋,0,https://suumo.jp/chintai/jnc_000085664133/?bc=100348054765,お部屋探し情報館(株)エーアイアール銀座店
HF浅草橋レジデンス,東京都台東区柳橋２,"築18年
14階建","築18年
14階建",18,10.3,ワンルーム,31.02,0.3320438426821406,ＪＲ総武線/浅草橋駅 歩7分,7.0,都営浅草線/蔵前駅 歩6分,6.0,ＪＲ総武線/両国駅 歩15分,15.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,浅草橋,0,https://suumo.jp/chintai/jnc_000019132013/?bc=100342037967,(株)リライフ浅草橋店
ミナモ浅草橋,東京都台東区浅草橋１,"築4年
10階建","築4年
10階建",4,14.1,1LDK,36.47,0.3866191390183712,都営浅草線/浅草橋駅 歩2分,2.0,ＪＲ総武線/浅草橋駅 歩3分,3.0,ＪＲ総武線快速/馬喰町駅 歩4分,4.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,浅草橋,0,https://suumo.jp/chintai/jnc_000085896347/?bc=100349804439,リブマックス神田店(株)リブマックスリーシング
ヒローズハイツIII,東京都江戸川区西小岩２,"築45年
2階建","築45年
2階建",45,6.5,2K,34.71,0.1872659176029962,ＪＲ総武線/小岩駅 歩8分,8.0,京成本線/京成小岩駅 歩22分,22.0,京成押上線/京成立石駅 バス10分 (バス停)西小岩二丁目 歩5分,10.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000071376418/?bc=100349787402,アエラス御茶ノ水店 (株)アエラス.GR
ステージグランデ向島,東京都墨田区向島５,"築4年
8階建","築4年
8階建",4,14.1,1LDK,41.39,0.3406619956511234,京成押上線/押上駅 歩11分,11.0,東武伊勢崎線/とうきょうスカイツリー駅 歩13分,13.0,東武伊勢崎線/曳舟駅 歩13分,13.0,,0,,0,,0,,0,,0,11.0,0,0,1,0,押上,0,https://suumo.jp/chintai/jnc_000085896440/?bc=100349895924,ホームメイトFC小岩駅北口店(株)コーユー
コンフォリア上野入谷,東京都台東区竜泉２,"築8年
地下1地上14階建","築8年
地下1地上14階建",8,9.5,1K,25.76,0.3687888198757764,東京メトロ日比谷線/入谷駅 歩6分,6.0,東京メトロ日比谷線/三ノ輪駅 歩7分,7.0,ＪＲ山手線/鶯谷駅 歩14分,14.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,入谷,0,https://suumo.jp/chintai/jnc_000055167216/?bc=100344001163,アパマンショップ門前仲町駅前店(株)アップル東京
東京メトロ日比谷線 入谷駅 14階建 築8年,東京都台東区竜泉２,"築8年
14階建","築8年
14階建",8,9.5,1K,25.76,0.3687888198757764,東京メトロ日比谷線/入谷駅 歩7分,7.0,東京メトロ日比谷線/三ノ輪駅 歩8分,8.0,ＪＲ山手線/鶯谷駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,入谷,0,,ホームメイトFC小岩駅北口店(株)コーユー
エスティメゾン錦糸町II,東京都墨田区江東橋３,"築16年
15階建","築16年
15階建",16,8.5,1K,23.59,0.3603221704111912,ＪＲ総武線快速/錦糸町駅 歩5分,5.0,東京メトロ半蔵門線/住吉駅 歩12分,12.0,都営新宿線/菊川駅 歩17分,17.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,錦糸町,0,https://suumo.jp/chintai/jnc_000061060752/?bc=100349757044,いい部屋ネット大東建託リーシング(株)亀戸店
ハイリバー錦糸町,東京都墨田区横川４,"築9年
2階建","築9年
2階建",9,5.8,ワンルーム,11.27,0.5146406388642414,東京メトロ半蔵門線/錦糸町駅 歩7分,7.0,ＪＲ総武線/錦糸町駅 歩7分,7.0,都営浅草線/押上駅 歩10分,10.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,錦糸町,0,https://suumo.jp/chintai/jnc_000084909087/?bc=100343777159,(株)S-FITお部屋探しCAFE ヘヤギメ!錦糸町店
ＭＩＮＡ　ＮＩＪＵＫＵ,東京都葛飾区新宿２,"築7年
2階建","築7年
2階建",7,6.7,ワンルーム,26.16,0.2561162079510703,ＪＲ常磐線/亀有駅 歩14分,14.0,,0.0,,0.0,,0,,0,,0,,0,,0,14.0,0,1,1,0,亀有,1,https://suumo.jp/chintai/jnc_000085912033/?bc=100349848809,アキバ・エステート (株)OCEAN
ハーモニーテラス西小岩V,東京都江戸川区西小岩５,"築3年
2階建","築3年
2階建",3,5.5,ワンルーム,11.86,0.463743676222597,ＪＲ総武線/小岩駅 歩5分,5.0,京成本線/京成小岩駅 歩10分,10.0,北総線/新柴又駅 歩23分,23.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,小岩,0,https://suumo.jp/chintai/jnc_000085891559/?bc=100342926064,ハウスコム東東京(株)亀有店
プレール・ドゥーク上野ＮＯＲＴＨ,東京都台東区北上野２,"築17年
10階建","築17年
10階建",17,8.5,ワンルーム,26.43,0.3216042376087779,東京メトロ日比谷線/入谷駅 歩3分,3.0,ＪＲ山手線/鶯谷駅 歩9分,9.0,東京メトロ銀座線/稲荷町駅 歩14分,14.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,入谷,0,https://suumo.jp/chintai/jnc_000085896360/?bc=100349140163,アイレントホーム(株)小岩店
プレール・ドゥーク上野ノース,東京都台東区北上野２,"築17年
10階建","築17年
10階建",17,8.2,1K,26.08,0.3144171779141104,ＪＲ山手線/上野駅 歩12分,12.0,東京メトロ日比谷線/入谷駅 歩4分,4.0,ＪＲ京浜東北線/鶯谷駅 歩9分,9.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,上野,0,https://suumo.jp/chintai/jnc_000085906983/?bc=100257652217,ROOMPIA(株)アンビション・エージェンシー上野御徒町店
ルクラージュ亀戸,東京都江東区亀戸７,"築9年
11階建","築9年
11階建",9,13.1,1LDK,40.7,0.3218673218673218,東武亀戸線/亀戸水神駅 歩7分,7.0,ＪＲ総武線/亀戸駅 歩10分,10.0,都営新宿線/大島駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,亀戸水神,0,https://suumo.jp/chintai/jnc_000085917380/?bc=100349859984,(株)ビッグ秋葉原駅前店
第三清水ハイツ,東京都江戸川区中葛西８,"築41年
2階建","築41年
2階建",41,6.5,2K,33.0,0.1969696969696969,東京メトロ東西線/葛西駅 歩9分,9.0,東京メトロ東西線/西葛西駅 歩23分,23.0,ＪＲ京葉線/葛西臨海公園駅 歩31分,31.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,葛西,0,https://suumo.jp/chintai/jnc_000085682240/?bc=100337406957,サークルプレイス不動産(株)
サンクエトワール,東京都墨田区吾妻橋２,"築23年
9階建","築23年
9階建",23,7.7,1K,22.06,0.3490480507706256,東武伊勢崎線/浅草駅 歩7分,7.0,東京メトロ銀座線/浅草駅 歩7分,7.0,都営浅草線/浅草駅 歩7分,7.0,,0,,0,,0,,0,,0,7.0,1,0,0,0,浅草,0,https://suumo.jp/chintai/jnc_000064597766/?bc=100345850416,(株)宇田川商事
東京メトロ南北線 王子神谷駅 4階建 築25年,東京都足立区新田３,"築25年
4階建","築25年
4階建",25,8.2,2K,32.0,0.25625,東京メトロ南北線/王子神谷駅 歩15分,15.0,東京メトロ南北線/志茂駅 歩27分,27.0,ＪＲ京浜東北線/東十条駅 歩28分,28.0,,0,,0,,0,,0,,0,15.0,1,1,1,1,王子神谷,0,https://suumo.jp/chintai/jnc_000085902695/?bc=100349724385,(株)ヴィックスリアルエステート菊川支店
グランパセオ上野,東京都台東区東上野１,"新築
12階建",築１年,1,11.2,1K,24.67,0.4539927036886906,東京メトロ銀座線/上野駅 歩8分,8.0,都営大江戸線/新御徒町駅 歩4分,4.0,ＪＲ山手線/御徒町駅 歩9分,9.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,上野,0,,ホームメイトFC小岩駅北口店(株)コーユー
東京メトロ東西線 木場駅 3階建 築10年,東京都江東区東陽１,"築10年
3階建","築10年
3階建",10,11.7,1LDK,45.6,0.256578947368421,東京メトロ東西線/木場駅 歩10分,10.0,東京メトロ東西線/東陽町駅 歩13分,13.0,ＪＲ京葉線/潮見駅 歩22分,22.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,木場,1,https://suumo.jp/chintai/jnc_000085821698/?bc=100349115610,(株)クレアスレント上野店
ＪＲ総武線 小岩駅 4階建 築43年,東京都江戸川区西小岩５,"築43年
4階建","築43年
4階建",43,7.8,2DK,36.0,0.2166666666666666,ＪＲ総武線/小岩駅 歩5分,5.0,京成本線/京成小岩駅 歩11分,11.0,京成本線/江戸川駅 歩16分,16.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,小岩,1,https://suumo.jp/chintai/jnc_000037551370/?bc=100341965685,マエムキ 神田支店(株)ヘヤコミュニケーション
西小岩アビタシオン,東京都江戸川区西小岩１,"築48年
3階建","築48年
3階建",48,6.5,2K,32.23,0.2016754576481539,ＪＲ総武線/小岩駅 歩8分,8.0,京成本線/京成小岩駅 歩22分,22.0,,0.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000049656148/?bc=100303725181,(株)CLCコーポレーション平井店
ＪＲ総武線 浅草橋駅 11階建 築32年,東京都台東区浅草橋２,"築32年
11階建","築32年
11階建",32,6.8,ワンルーム,19.98,0.3403403403403403,ＪＲ総武線/浅草橋駅 歩3分,3.0,ＪＲ山手線/秋葉原駅 歩12分,12.0,都営浅草線/蔵前駅 歩13分,13.0,,0,,0,,0,,0,,0,3.0,1,0,0,0,浅草橋,0,https://suumo.jp/chintai/jnc_000081217554/?bc=100347071406,アパマンショップ小岩店タキナミネクスト(株)
エスポワール高砂,東京都葛飾区高砂１,"築4年
3階建","築4年
3階建",4,6.3,ワンルーム,18.4,0.3423913043478261,京成本線/青砥駅 歩14分,14.0,京成本線/京成高砂駅 歩17分,17.0,京成押上線/京成立石駅 歩25分,25.0,,0,,0,,0,,0,,0,14.0,0,0,1,0,青砥,0,https://suumo.jp/chintai/jnc_000074452583/?bc=100349858475,ソレイユ上野店(株)ソレイユ
都営浅草線 本所吾妻橋駅 9階建 築22年,東京都墨田区吾妻橋２,"築22年
9階建","築22年
9階建",22,7.7,1K,22.06,0.3490480507706256,都営浅草線/本所吾妻橋駅 歩2分,2.0,東京メトロ半蔵門線/押上駅 歩14分,14.0,都営浅草線/浅草駅 歩8分,8.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,本所吾妻橋,0,https://suumo.jp/chintai/jnc_000064597768/?bc=100345866200,(株)タウンハウジング東京 新小岩店
シーアイマンション浅草橋,東京都台東区浅草橋２,"築32年
11階建","築32年
11階建",32,6.8,ワンルーム,19.98,0.3403403403403403,ＪＲ総武線/浅草橋駅 歩3分,3.0,ＪＲ山手線/秋葉原駅 歩12分,12.0,都営浅草線/蔵前駅 歩13分,13.0,,0,,0,,0,,0,,0,3.0,1,0,0,0,浅草橋,0,https://suumo.jp/chintai/jnc_000081226218/?bc=100322228950,ハウスコム東東京(株)押上店
カーサカルム,東京都葛飾区細田４,"築34年
2階建","築34年
2階建",34,7.6,2K,40.15,0.1892901618929016,京成本線/京成小岩駅 歩14分,14.0,京成本線/京成高砂駅 歩17分,17.0,ＪＲ総武線/小岩駅 歩18分,18.0,,0,,0,,0,,0,,0,14.0,1,1,1,1,京成小岩,0,https://suumo.jp/chintai/jnc_000085759564/?bc=100348637137,(株)グッドリビング浅草店
ＪＲ総武線 小岩駅 2階建 築46年,東京都江戸川区東小岩６,"築46年
2階建","築46年
2階建",46,5.8,2K,29.05,0.1996557659208261,ＪＲ総武線/小岩駅 歩8分,8.0,京成本線/京成小岩駅 歩15分,15.0,京成本線/江戸川駅 歩12分,12.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085848632/?bc=100349787156,ハウスコム東東京(株)亀有店
ＪＲ総武線 小岩駅 2階建 築46年,東京都江戸川区東小岩６,"築46年
2階建","築46年
2階建",46,5.8,2K,29.05,0.1996557659208261,ＪＲ総武線/小岩駅 歩8分,8.0,京成本線/京成小岩駅 歩15分,15.0,京成本線/江戸川駅 歩12分,12.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085871288/?bc=100349787155,大和エステート(株)D-ROOMセンター
都営新宿線 船堀駅 2階建 築38年,東京都江戸川区宇喜田町,"築38年
2階建","築38年
2階建",38,6.4,2K,30.0,0.2133333333333333,都営新宿線/船堀駅 歩10分,10.0,東京メトロ東西線/西葛西駅 歩25分,25.0,東京メトロ東西線/葛西駅 歩28分,28.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,船堀,0,https://suumo.jp/chintai/jnc_000029231798/?bc=100349858168,ホームメイトFC小岩駅北口店(株)コーユー
グランド・ガーラ東大島,東京都江東区東砂３,"築3年
14階建","築3年
14階建",3,8.1,2K,25.51,0.3175225401803214,都営新宿線/東大島駅 歩14分,14.0,東京メトロ東西線/南砂町駅 歩25分,25.0,都営新宿線/西大島駅 歩30分,30.0,,0,,0,,0,,0,,0,14.0,0,0,1,0,東大島,0,https://suumo.jp/chintai/jnc_000084613130/?bc=100347057195,(株)Aerial
都営新宿線 東大島駅 14階建 築3年,東京都江東区東砂３,"築3年
14階建","築3年
14階建",3,8.1,2K,25.51,0.3175225401803214,都営新宿線/東大島駅 歩14分,14.0,都営新宿線/大島駅 歩24分,24.0,,0.0,,0,,0,,0,,0,,0,14.0,0,0,1,0,東大島,0,https://suumo.jp/chintai/jnc_000084951748/?bc=100348214146,(株)Link Roomリンクルーム清澄白河本店
東武亀戸線 小村井駅 3階建 築45年,東京都墨田区京島３,"築45年
3階建","築45年
3階建",45,7.2,2K,29.76,0.2419354838709677,東武亀戸線/小村井駅 歩7分,7.0,京成押上線/京成曳舟駅 歩9分,9.0,東武亀戸線/曳舟駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,小村井,1,https://suumo.jp/chintai/jnc_000084958155/?bc=100343779871,(株)ユニバーサルエステート
ＪＲ総武線快速 新小岩駅 2階建 築31年,東京都葛飾区奥戸４,"築31年
2階建","築31年
2階建",31,6.5,2K,30.0,0.2166666666666666,ＪＲ総武線快速/新小岩駅 歩17分,17.0,ＪＲ総武線/小岩駅 歩21分,21.0,京成本線/京成小岩駅 バス12分 (バス停)奥戸六丁目 歩4分,12.0,,0,,0,,0,,0,,0,12.0,1,1,1,1,新小岩,0,https://suumo.jp/chintai/jnc_000085848473/?bc=100349787125,ピタットハウス錦糸町北口店スターツピタットハウス(株)
ＪＲ総武線 浅草橋駅 9階建 築6年,東京都台東区柳橋２,"築6年
9階建","築6年
9階建",6,16.6,1LDK,45.47,0.3650758742027711,ＪＲ総武線/浅草橋駅 歩5分,5.0,都営浅草線/蔵前駅 歩5分,5.0,東京メトロ日比谷線/秋葉原駅 歩20分,20.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,浅草橋,0,https://suumo.jp/chintai/jnc_000085451648/?bc=100346898156,ホームメイトFC小岩駅北口店(株)コーユー
都営新宿線 篠崎駅 3階建 築31年,東京都江戸川区上篠崎３,"築31年
3階建","築31年
3階建",31,6.8,2K,24.49,0.27766435279706,都営新宿線/篠崎駅 歩13分,13.0,ＪＲ総武線/小岩駅 バス10分 (バス停)浅間神社 歩8分,10.0,都営新宿線/瑞江駅 バス27分 (バス停)浅間神社 歩8分,27.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,篠崎,0,https://suumo.jp/chintai/jnc_000085907555/?bc=100349786421,(株)リライフ浅草橋店
アリビオン菊川,東京都墨田区菊川２,"築2年
5階建","築2年
5階建",2,8.7,ワンルーム,25.0,0.348,都営新宿線/菊川駅 歩2分,2.0,都営大江戸線/森下駅 歩10分,10.0,東京メトロ半蔵門線/清澄白河駅 歩15分,15.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,菊川,0,https://suumo.jp/chintai/jnc_000085051614/?bc=100348567350,ホームメイトFC小岩駅北口店(株)コーユー
MEINSCHLOSS亀戸,東京都江東区亀戸２,"新築
10階建",築１年,1,13.3,1LDK,39.84,0.3338353413654618,ＪＲ総武線/亀戸駅 歩7分,7.0,東武亀戸線/亀戸水神駅 歩11分,11.0,ＪＲ総武線/錦糸町駅 歩14分,14.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,亀戸,0,https://suumo.jp/chintai/jnc_000085417831/?bc=100340252433,センチュリー21(株)ロータスアセットパートナーズみんなのへや月島ミッドタワーグランド店
喜楽荘,東京都江戸川区南小岩６,"築51年
2階建","築51年
2階建",51,6.2,2K,28.76,0.21557719054242,ＪＲ総武線/小岩駅 歩8分,8.0,京成本線/江戸川駅 歩24分,24.0,京成本線/京成小岩駅 歩25分,25.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000065539815/?bc=100349787321,Sky Yard Property(株)銀座本店
