物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
HW.HILLS御徒町,東京都台東区台東４,"築1年
5階建","築1年
5階建",1,9.3,ワンルーム,18.04,0.5155210643015522,ＪＲ山手線/御徒町駅 歩6分,6.0,都営大江戸線/新御徒町駅 歩5分,5.0,ＪＲ山手線/上野駅 歩10分,10.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,御徒町,0,,
竹ノ塚AP,東京都足立区伊興５,"新築
2階建",築１年,1,9.3,1LDK,38.5,0.2415584415584415,東武伊勢崎線/竹ノ塚駅 歩13分,13.0,日暮里・舎人ライナー/舎人公園駅 歩17分,17.0,,0.0,,0,,0,,0,,0,,0,13.0,0,1,1,0,竹ノ塚,1,,
アリカ曳舟,東京都墨田区八広１,"築3年
8階建","築3年
8階建",3,12.2,2K,35.2,0.346590909090909,京成押上線/京成曳舟駅 歩2分,2.0,東武伊勢崎線/曳舟駅 歩8分,8.0,東京メトロ半蔵門線/押上駅 歩17分,17.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,京成曳舟,0,,
コンフォリア浅草橋DEUX,東京都台東区浅草橋５,"築16年
13階建","築16年
13階建",16,15.3,1LDK,39.27,0.3896103896103896,ＪＲ総武線/浅草橋駅 歩7分,7.0,東京メトロ日比谷線/秋葉原駅 歩11分,11.0,都営大江戸線/新御徒町駅 歩8分,8.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,浅草橋,0,,
宝ハイツ,東京都葛飾区宝町２,"築47年
3階建","築47年
3階建",47,7.0,2K,34.02,0.2057613168724279,京成本線/お花茶屋駅 歩3分,3.0,京成本線/堀切菖蒲園駅 歩14分,14.0,京成押上線/京成立石駅 歩22分,22.0,,0,,0,,0,,0,,0,3.0,1,1,0,0,お花茶屋,1,,
アルクス森下,東京都墨田区立川２,"築11年
7階建","築11年
7階建",11,15.9,1SLDK,57.06,0.2786540483701367,都営大江戸線/森下駅 歩5分,5.0,都営新宿線/菊川駅 歩7分,7.0,ＪＲ総武線/両国駅 歩13分,13.0,,0,,0,,0,,0,,0,5.0,0,1,0,0,森下,0,,
Ｅｍｉｌｅ,東京都足立区南花畑１,"築12年
3階建","築12年
3階建",12,11.5,1LDK,47.87,0.2402339669939419,つくばエクスプレス/六町駅 歩3分,3.0,東京メトロ千代田線/北綾瀬駅 歩25分,25.0,つくばエクスプレス/青井駅 歩21分,21.0,,0,,0,,0,,0,,0,3.0,0,1,0,0,六町,0,,
都営大江戸線 両国駅 9階建 新築,東京都墨田区緑３,"新築
9階建",築１年,1,14.9,1LDK,35.58,0.4187745924676785,都営大江戸線/両国駅 歩7分,7.0,ＪＲ総武線/両国駅 歩12分,12.0,ＪＲ総武線/錦糸町駅 歩14分,14.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,両国,0,,
ＪＲ総武線 錦糸町駅 7階建 築4年,東京都墨田区太平１,"築4年
7階建","築4年
7階建",4,13.2,1LDK,34.39,0.3838325094504216,ＪＲ総武線/錦糸町駅 歩10分,10.0,東京メトロ半蔵門線/押上駅 歩13分,13.0,都営浅草線/本所吾妻橋駅 歩13分,13.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,錦糸町,0,,
セヴェランス錦糸町,東京都墨田区太平１,"築4年
7階建","築4年
7階建",4,13.2,1LDK,34.39,0.3838325094504216,ＪＲ総武線/錦糸町駅 歩10分,10.0,東京メトロ半蔵門線/錦糸町駅 歩10分,10.0,東京メトロ半蔵門線/押上駅 歩13分,13.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,錦糸町,0,,
プラチナフォルム上野御徒町,東京都台東区台東３,"築4年
地下1地上4階建","築4年
地下1地上4階建",4,8.2,ワンルーム,18.71,0.4382683057188669,都営大江戸線/上野御徒町駅 歩4分,4.0,ＪＲ山手線/上野駅 歩10分,10.0,ＪＲ山手線/御徒町駅 歩7分,7.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,上野御徒町,0,,
